title,year,duration,genre,rating,movie_url,user-agent
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://web.archive.org/web/20200714035946/https://www.imdb.com/title/tt0111161/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Inception ,2010,2h 28min,Action,8.8,https://web.archive.org/web/20200716171027/https://www.imdb.com/title/tt1375666/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Fight Club ,1999,2h 19min,Drama,8.8,https://web.archive.org/web/20200714080106/https://www.imdb.com/title/tt0137523/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,https://web.archive.org/web/20200714041023/https://www.imdb.com/title/tt0120737/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
12 Angry Men ,1957,1h 36min,Crime,8.9,https://web.archive.org/web/20200714005450/https://www.imdb.com/title/tt0050083/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Schindler's List ,1993,3h 15min,Biography,8.9,https://web.archive.org/web/20200714062836/https://www.imdb.com/title/tt0108052/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Pulp Fiction ,1994,2h 34min,Crime,8.9,https://web.archive.org/web/20200714035314/https://www.imdb.com/title/tt0110912/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Lord of the Rings: The Return of the King ,2003,3h 21min,Adventure,8.9,https://web.archive.org/web/20200714041137/https://www.imdb.com/title/tt0167260/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Godfather: Part II ,1974,3h 22min,Crime,9.0,https://web.archive.org/web/20200714052747/https://www.imdb.com/title/tt0071562/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Matrix ,1999,2h 16min,Action,8.7,https://web.archive.org/web/20200714233133/https://www.imdb.com/title/tt0133093/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
